Application Code,Application,DBAG_Application Level,Application Type,DBAG_Authenticity,DBAG_Availability,Comment,DBAG_Confidentiality,DBAG_Control of Source Code,DBAG_Current State,Generic Local name,DBAG_Integrity,OwningLegalEntity,DBAG_Long Description,DBG-Max Criticality,DBAG - Number of Message Flows,DBAG_DecomStatus
AID72,M7 Trading,Application,Not set,Major,Critical,"M7 is the successor of the energy trading system (ComXerv) which was build for the European Energy eXchange (EEX) and is used now as a generic commodity trading platform.   
 ",Major,,onboarding,M7 Trading,Major,LE32,"M7 is the commodity trading platform of Deutsche Börse. There are several installations of it, e.g.:
-  EPEX SPOT market (covering France, Germany, Austria and Switzerland)
- HUPX (Hungarian Power Exchange)
- SOUTHPOOL (Slovenijan Regional Energy Exchange)
- NOREXECO (Norwegian Pulp & Paper Exchange)
- ClearTrade (Singapur futures exchange for commodity derivatives) 
 
 M7 is based upon an asynchronous,  ",Critical,3,not initiated
AID73,Mainframe (Residual LCS),Application,Not set,Major,Major,Remaining functionality - reference data related to specific instrument data needs / specific internal reporting related to instrument data/ specific ,Minor,Internal,onboarding,Mainframe (Residual LCS),Major,LE33,"1 INTERNAL REPORTING
Although the large majority of internal reports have been migrated from LCS in the context of NCCIP, only few reports related to specific instrument data in relation with Euroclear remain on LCS.
2 MASTER FILE HOUSEKEEPING
The major core master files of reference data have been decommissioned in the context of NCCIP and RDF. A technical instrument data file is still maintained to enable the functioning of the Common Code Generator. No integration for the redenomination database as it has been decommissioned.
3 REDENOMINATION DATABASE
LCS does not maintain anymore the redenomination database, which details the characteristics and rules underlying the redenomination process of RTS.
It has been decommissioned and migrated to RTS.
4 TAXES FOR ENGLAND & IRELAND
Calculation and collection of taxes on the securities transactions for the government of the countries mentioned.",Major,16,not initiated
AID74,Market Operation Support DDC,Application,Not set,Minor,Minor,,Minor,,onboarding,Market Operation Support DDC,Minor,LE34,,Minor,6,not initiated
AID75,Market Operation Support DMF,Application,Not set,Critical,Major,This a collection of tools also listed in the Market Supervision tool excel sheet. The tools covered via this application are only used by DMF. ,Critical,,onboarding,Market Operation Support DMF,Critical,LE35,,Critical,5,not initiated
AID76,Market Operation Support DMG,Application,Not set,Major,Minor,"This application comprises the tools used by market supervisions DMG unit.  The tools are listed as components.
 ",Major,,onboarding,Market Operation Support DMG,Major,LE36,,Major,3,not initiated
AID77,Market Operation Support DMH,Application,Not set,Minor,Major,This application comprises the tools used by market supervisions DMH unit.  The tools are listed as components.,Minor,,onboarding,Market Operation Support DMH,Minor,,,Major,4,not initiated
AID78,Market Operation Support DMI,Application,Not set,Minor,Minor,,Major,,onboarding,Market Operation Support DMI,Minor,,,Major,0,not initiated
AID79,Market Operation Support DMS,Application,Not set,None,Minor,Market supervision tool used by DMS supervision Unit.,Minor,,onboarding,Market Operation Support DMS,None,,,Minor,1,not initiated
AID80,Market Operation Support DTO,Application,Not set,Minor,Minor,Set of tools for market operations in the area of Dxx,Minor,,onboarding,Market Operation Support DTO,Minor,,,Minor,2,not initiated
AID81,Market Operation Support DWH,Application,Not set,None,None,This application covers all tools se solely by DWH unit.,None,,onboarding,Market Operation Support DWH,None,,,None,2,not initiated
AID82,Market Operation Support DXE,Application,Not set,Critical,Minor,This tools cover all the market supervision tools used bei the DXE unit.,Minor,,onboarding,Market Operation Support DXE,Critical,,,Critical,1,not initiated
AID83,Market Supervision Network,Application,Not set,None,None,,None,,onboarding,Market Supervision Network,None,,,None,0,not initiated
AID84,MARS,Application,Not set,Major,Minor,"Creation of Reports, Dashboards, KPIs and Scorecard with the MicroStrategy application.",Critical,Internal,onboarding,MARS,Major,,"MARS Reporting
MARS Reporting generate ad-hoc reports based on the provided data of the MARS Extractor (ETL). The reports can be provided on request or with subscriptions (scheduler).
Five separate schemas are used on MARS db:
ï‚· One schema for a star dimensional model called â€œReporting Warehousâ€
ï‚· Four schemas for relational models, called as follows:
â€’ MicroStrategy Metadata â€œmstr_mdâ€(projects, reports and all MicroStrategy objects)
â€’ MicroStrategy Statistics â€œmstr_srâ€
â€’ MicroStrategy History List â€œmstr_hlâ€
â€’ Data Vault",Critical,35,not initiated
AID85,MD+S Interactive,Application,Not set,Minor,Minor,MD+S Interactive is for management of customer access for some of MD+S offered products.,Minor,,onboarding,MD+S Interactive,Minor,,"MD+S Interactive allows customers to administer the Market Data Dissemination, CEF and Non Display Agreement concluded with DBAG. In addition it supports MD+S Sales Support team to administer some of MD+S contract types and prepares periodical billing which is than performed within SAP. Access to some of MD+S services is granted via MD+S interactive. MD+S interactive also provides  is  circulars and file based products  either via web, email or file service.",Minor,9,not initiated
AID86,Member Portal,Application,Not set,Minor,Major,Member Portal (Member Section) is the external facing portal of SAP to trading and clearing members.,Major,,onboarding,Member Portal,Major,,"Members can use self servicing functions like management of users, admissions, entitlements and connectivity products. Furthermore this is used for billing and reporting purposes.",Major,2,not initiated
AID87,Monitoring Elevator System,Application,Not set,Minor,Minor,The Monitoring Elevator System is a Facility Managment (FM) system for lift control and monitoring.  ,Minor,,onboarding,Monitoring Elevator System,Minor,,"This system is a separate (less capable) building management system (BMS). 
There is special interconnection to BMZ to ensure safety.
The system is rented together with lift infrastructure. 
",Minor,0,not initiated
AID88,MS Outlook / Exchange,Application,Not set,Critical,Major,Wikipedia,Critical,External,onboarding,MS Outlook / Exchange,Critical,,wikipedia,Critical,2,not initiated
AID89,myApplication,Application,Not set,None,None,"An application that was set up for training purposes, but runs really fast.",None,Internal,onboarding,myApplication,None,,"An application that was set up for training purposes, but runs really fast and stable.",None,0,not initiated
AID90,NCCIP,Application,Not set,Critical,Critical,NCCIP (New Continuous Cash Instruction Input),Critical,Internal,onboarding,NCCIP,Critical,,"The NCCIP platform allows the end to end management of cash instructions from ICSD customers, as well as internal Clearstream operations.
NCCIP provides full traceability of the life cycle activities and integrates with the Clearstream connectivity for inbound and outbound reporting.
NCCIP interacts as well with the Cash Correspondents in the context of the matching of preadvices, as well as for the execution of payments.
NCCIP provides since November 2007 the Target 2 services.
NCCIP offers as well a powerful workstation services, which allow internal operations to query the cash life cycle, to ask for internal reports, as well as to act on the cash life cycle activities.
NCCIP maintains on a daily basis value dated balances and calculates on a monthly basis the underlying interests
NCCIP provides batch driven distribution services to downstream systems, for example Nostro, SAP, Datawarehouse, etc.
ICSD IT Summary Table 2014",Critical,142,not initiated
AID91,NCMS/CEMT,Application,Not set,Critical,Major,New Collateral Management System / Credit Exposure Monitoring Tool,Critical,Internal,onboarding,NCMS/CEMT,Critical,,"Times New Roman;Century Gothic;Courier New;Arial;Segoe UI;MS Shell Dlg;&quot;;Symbol;Wingdings;;;;Normal;Default Paragraph Font;NCMS:
1.	Automation of collateral Haircut calculation
2.	Collateral concentration thresholds
3.	Own issued securities haircut
4.	Simulation
CEMT: 
1.	Collection of credit related data from several feeds for manual and/or automatic generation of enhanced reports
2.	Support for institution review process",Critical,8,not initiated
AID92,NCS,Application,Not set,Critical,Critical,"Cleanses, scrubs and aggregates event information received from internal and external sources for subsequent transmission to the Custody system.",Minor,External,onboarding,NCS,Critical,,"The Custody system is driven by the input of Corporate Action event notifications. Rather than manually entering these events using a Custody graphical interface, it is more efficient to subscribe to data feeds (external market feeds, depositories, internal feeds) and use this to populate the Custody system.
The NCS system receives event feeds from several sources of information so that they can be automatically compared against one another (the process of cleansing and scrubbing) to ensure data accuracy and completeness. Once done, the event can be released to flow into Custody.
Any differences/conflicts that cannot be resolved automatically are resolved manually by users.",Critical,13,not initiated
AID93,NiceActimice,Application,Not set,None,None,,None,,onboarding,NiceActimice,None,,,None,0,not initiated
AID94,NOSTRO,Application,Not set,Critical,Critical,Nostro cash reconciliation,Minor,Internal,onboarding,NOSTRO,Critical,,"Reconciliation of balances on our cash accounts held by our Cash Correspondent Banks
with our bookkeeping.
Cash accounts are only concerning cash movements that are linked to operations on securities done by our customers.
Reconciliation results in the generation of bookkeeping adjustments and/or fees which are impacting customers and/or our bookkeeping accounts",Critical,15,not initiated
AID95,Office Automation,Application,Not set,None,None,,None,,onboarding,Office Automation,None,,,None,0,not initiated
AID96,OneSecLend,Application,Not set,Major,Major,Securities Lending Platform,Major,Internal,onboarding,OneSecLend,Major,,,Major,39,not initiated
AID97,OPM,Application,Not set,Minor,None,"The Performance Monitor - or perfmon for short - is a set of software tools which process and present activity and performance-related information gathered from DBG exchanges.
",Critical,Internal,onboarding,OPM,Minor,,"It gives insight into exchange activity and performance for managers, operators, customer support, market supervision, capacity management, software architects, and more.
The performance monitor is - besides the in-house use - also deployed for the T7-based markets ISE and BSE.

",Critical,3,not initiated
AID98,PM/CSD,Application,Not set,Critical,Critical,Position Management for CSD,Critical,Internal,onboarding,PM/CSD,Critical,,,Critical,160,not initiated
AID99,PM/ICSD,Application,Not set,Critical,Critical,Position Management for ICSD,Critical,Internal,onboarding,PM/ICSD,Critical,,,Critical,93,not initiated
AID100,Prisma,Application,Not set,Critical,Critical,Prisma is an exposure calculation engine based on a portfolio-based risk management approach.,Critical,Internal,onboarding,Prisma,Critical,,"Prisma calculates combined risks across all markets cleared by Eurex Clearing. Cleared products that share similar risk characteristics are assigned to the same so-called Liquidation Group, which results in more comprehensive risk calculations enabling cross margining across positions within any Liquidation Group. ",Critical,9,not initiated
AID101,RDF,Application,Not set,Critical,Critical,RDF is the master for reference data on Security / Institution / Country / City / National Region.,Minor,Internal,onboarding,RDF,Critical,,Corporate data maintenance / publication / workflow management,Critical,152,not initiated
AID102,Regulatory Reporting,Application,Not set,Major,Major,Clearstream Regulatory Reporting to BaFin and CSSF.,Critical,Internal,onboarding,Regulatory Reporting,Major,,"By the functions of this system regulatory reporting for Clearstream  to BAFin / Bundesbank and CSSF / Central Bank Luxembourg is covered. In addition Balance sheet reporting, BOP reporting and payment statistics reporting are covered for ECAG. Also covered is the ECB Blue Book reporting.
 
It can be divided functionally into the following areas :
 
1)     CBF reporting
–       Balance sheet reporting 
–       Custody Statistics
–       Payments Statistics
–       BOP Reporting
–       Open Repo Reporting
–       ECB Blue Book Reporting
–       Common (Central functions)
 
2)     CBL reporting
–       Balance Sheet Reporting
–       Custody Statistics
–       BOP Reporting
–       Payment Statistics
–       ECB Blue Book Reporting
 
3)     Consolidated Reporting Clearstream to German authorities
–       Balance Sheet Reporting
 
4)     ECAG Reporting
–       - Balance Sheet Reporting
–       - BOP Reporting
–       - Reporting on Open Repos
–       - Payments Statistics
 
5)     LUX-CSD Reporting
–       - Custody Statistics
–       - BOP Reporting
–       - ECB Blue Book Reporting
 
Technically the workflow is implemented in three different layers
 
1)     Interfaces delivering data
a.     SAP GL
–       Balance Sheet Structure
–       Cash Balances
–       Master Data
–       Payment Instructions
–       AWV relevant Instructions
b.     SAP AP
–       Cash Balances
–       Master Data
–       Payment Instructions
c.     SAP AR
–       Cash Balances
–       Master Data
–       Payment Instructions
–       Clearer Data
d.     SAP CFM
–       Cash Balances
–       Master Data
e.     KUSTA
–       Account Master Data
–       6-series account association
–       pledge accounts
f.       AM
–       Account Master Data
–       TOF Credit Lines
g.     RDF
–       Security Master Data
–       Issuer Data
h.     WSS
–       Security Master Data
–       Currency Conversion Rates
–       Prices
–       Issue rating information
–       Issuer rating information
i.       KVG
–       Cash Balances
–       Cash Instructions
j.       Settlement Reporting 
–       Payment Statistics Instructions
–       ECB Blue Book Instructions
k.     NCCIP
–       Cash Balances
–       Cash Instructions Paym.Stat.
–       Cash Instructions BOP Rep.
l.       RTS
–       Security Balances
–       Security Instructions
–       Payment Instructions
m.   SAFIR
–       Security Balances
n.     CASCADE
–       Security Balances
–       Security Balances (Blue Book)
o.     CCP
–       AWV Instructions
–       Open Repo Trades
p.     ISE
–       AWV Instructions
q.     PND
–       AWV Instructions
–       Cash Balances
r.      KADI
–       AWV Instructions
s.     TI15
–       Cash Balances
t.      CSE (ASF)
–       Lending Positions
u.     CMAX 
–       collaterals
v.      BCLIML
–       Instructions
w.    XEMAC
–       balances
x.     x.         SAP FI
–       Instructions
y.      y.         CITCO / CGSS
–       balences
–       Secutity Master Data
–       Issuer Master Data
 
2)     Processing
Complete processing is done within the AURORA application. It provides the following functional areas:
–       BM
(Balance Sheet Reporting)
–       BOP / AWV / AWV-Z05
–       Custody Statistics 
–       Payments Statistics
–       Accounting 
–       ECB Blue Book
 
3)     Output formatting
Reports are created via 3rd party Software 
–       FRS (For reporting to legal
authorities in Luxembourg)
–       BAIS (for reporting to
German authorities)
 ",Critical,51,not initiated
AID103,Report Server,Application,Not set,Critical,Critical,Clearstream consolidated and aggregated reporting,Critical,Internal,onboarding,Report Server,Critical,,"Report Server is a high-performance reporting system based on a UNIX platform, reusing and extending the existing technologies developed for the RTS/Creation platform. It will utilise both on-line and batch technology.
Report Server is built on a suite of Synchronisation engines for synchronisation of data from various systems as CMAX, RTS, CREATION, Custody, TAX,.. and built on a suite of Reporting engines (Batch, Continuous and real-time)",Critical,264,not initiated
AID104,RICA,Application,Not set,None,None,,None,,onboarding,RICA,None,,,None,0,not initiated
AID105,Risk Engine,Application,Not set,Critical,Critical,"Risk Engine is based on the Legacy VMS architecture. Decommissioning is planned for 2016/2017.
  ",Critical,Internal,onboarding,Risk Engine,Critical,,"The focus of the Risk engine is to calculation end of day margin. However it also calculates intraday margin on a 3 minute basis for the cash market trades (XETRA). The position for the cash market are delivered via CCP. 
 
Risk Engine maintains also a set of reference/master data including
- Margin Call Limits
- Risk Parameters 
- Pool Factors
- Margin Class
- Margin Group
 
Besides risk calculation RE calculates also the interest for the cash margins. Total Margin aggregation will be done on both PRISMA and RE in the course of 2016 until RE gets finally decommissioned. 
 ",Critical,18,not initiated
AID106,Risk Operation Support,Application,Not set,Critical,Major,,Critical,,onboarding,Risk Operation Support,Critical,,,Critical,3,not initiated
AID107,RITA,Application,Not set,Minor,Minor,"Risk IT Architecture (RITA) is used by GRM to calculate Value at Risk using Monte-Carlo method. It is also used to collect and prepare all necessary input data and to store and analyze calculation results.
 
VaR is a risk measure used by DBG to calculate Economic capital, Earnings at Risk and also the required regulatory capital for Clearstream entities.
 
RITA components
SIAM -  a VaR calculation engine implemented in MATLAB 
RITA Backend - a component for batch processing of input data 
RITA Queue Manager - a component controlling SIAM calculations 
RITA GUI - a component for manual data maintenance 
RITA DB - an Oracle database ",Major,Internal,minimum maintained data,RITA,Minor,,"Org Unit
Group Risk Monitoring 
developed by GRM/RITA team, Prague",Major,0,not initiated
AID108,RTS,Application,Not set,Critical,Critical,Security instruction life cycle management,Critical,Internal,onboarding,RTS,Critical,,"The RTS application is mainly responsible for handling the lifecycle of security instructions and its main functionalities are as follows:
ï‚§ Security instruction management
o Customer Instruction Validation.
o Customer Instruction matching
o Settlement Release activity for requested settlement date.
o Instruction Life Cycle maintenance
o Check depository profiles and validate inputs from depositories
ï‚§ Feedbacks & Reporting
o Send instruction feedback both to Customer and depository
ï‚§ Handle exchanges with Euroclear
o Control ACE matching file with Euroclear
o Process and feedback on Euroclear settlement delivery file
o Process realignment instructions and provide continuous status to end-users
o Manage risks and adjust the tolerance level of the CBL cash exposure
ï‚§ Maintain customer deadlines for instruction provisioning
ï‚§ Synchronize reference data : keep up-to-date information (accounts, securities, pricesâ€¦) and make it available to end-users",Critical,116,not initiated
AID109,SAFIR,Application,Not set,Minor,Minor,Satellite Application For International Business Restrictions,Minor,Internal,onboarding,SAFIR,Minor,,"The SAFIR application supports settlement business (OTC trades) in restricted markets.

Currently SAFIR covers the following business aspects:
 
-       Support the settlement of securities in the restricted Malaysian market
-       Manage holdings of securities out of OLGA that cannot be migrated to Creation

 
SAFIR provides its users with the following functions:
-       Maintaining master data (customers, beneficial owners, accounts, securities, depositories)
-       Process single security and cash instructions
-       Security accounting
-       Process corporate events
-       Reconciliation procedures for the Malaysian business
-       Extensive reporting
 
SAFIR has no automatic interfaces to other systems. All processes are triggered manually by the users.
Only exception: Automatic monthly delivery of participant/account data for STOP.
 
Read only access to 
·       Dataserver (Customer security balances)
·       DDR (Beneficial owner security balances)
 
Read/Write access to
·      All SAFIR-tables 
 
Output created by SAFIR:
·       Different internal (CBF) and external (customers) reports. (e.g. „Customer Quarterly Report“).
·       Monthly Daily reporting for STOP.
 ",Minor,6,not initiated
AID110,SAP ADS,Application,Not set,None,None,,None,,onboarding,SAP ADS,None,,,None,0,not initiated
AID111,SAP BI-A,Application,Not set,None,None,,None,,onboarding,SAP BI-A,None,,,None,0,not initiated
AID112,SAP BW,Application,Not set,Major,Major,"SAP BW is a standard data warehouse components of the SAP product suite.

 ",Major,External,onboarding,SAP BW,Major,,"Deutsche Börse Group uses BW as a data warehouse primarily for performing analytics on SAP data (specifically ERP, CRM). However, it integrates some data from other sources (e.g. StatistiX).",Major,4,not initiated
AID113,SAP CLM,Application,Not set,Critical,Major,SAP Contract Lifecycle Management system. ,Critical,,onboarding,SAP CLM,Critical,,"CLM is used not only for vendor contracts, but also for contracts with clients, including membership contracts, trading admission (""Handelszulassung"") 

Contract lifecyle management is gone into production by 15/12/2015, replacing SAP CMS.",Critical,4,not initiated
AID114,SAP ERP,Application,Not set,Critical,Major,"SAP is used for enterprise core functions like controlling, general ledger, human resources, but also for billing of customers and managing of their assigned products and access rights.",Critical,,onboarding,SAP ERP,Critical,,"Deutsche Börse is using nearly the complete suite of SAP ERP. Besides the enterprise functions like HR, billing, accounting etc.",Critical,52,not initiated
AID115,SAP Fileserver,Application,Not set,None,None,,None,,onboarding,SAP Fileserver,None,,,None,0,not initiated
AID116,SAP Gateway,Application,Not set,None,None,,None,,onboarding,SAP Gateway,None,,,None,0,not initiated
AID117,SAP GRC,Application,Not set,None,None,,None,,onboarding,SAP GRC,None,,,None,0,not initiated
AID118,SAP GUI,Application,Not set,None,None,,None,,onboarding,SAP GUI,None,,,None,0,not initiated
AID119,SAP ILM,Application,Not set,None,None,,None,,onboarding,SAP ILM,None,,,None,0,not initiated
AID120,SAP PO,Application,Not set,None,None,,None,,onboarding,SAP PO,None,,,None,0,not initiated
AID121,SAP Solman,Application,Not set,None,None,,None,,onboarding,SAP Solman,None,,,None,0,not initiated
AID122,SAP Solman (Monitor),Application,Not set,None,None,,None,,onboarding,SAP Solman (Monitor),None,,,None,0,not initiated
AID123,SAP SRM,Application,Not set,Minor,Minor,SAP application for Supplier Relationship Management. ,Minor,,onboarding,SAP SRM,Minor,,"Internally, SRM provides shopping cart functionality. The bidding engine is used for RfPs. Vendors can upload offers using the portal and submit proposals via portal or business connector. 
Additonally, the cataloque functionality is used for punch-out to vendor catalogues and for an internal catalogue.
After approval of the shopping cart, the data are transferred to SAP ERP module MM to create the purchase order.
SRM is in use since 2007.",Minor,4,not initiated
AID124,SAP T-Rex,Application,Not set,None,None,,None,,onboarding,SAP T-Rex,None,,,None,0,not initiated
AID125,SCILA Surveillance,Application,Not set,None,None,"SCILA Surveillance is a product of SCILA AB. It provides market surveillance functions to the HUEST. SCILA covers stocks, derivatives and Eurex Bonds.",Critical,,onboarding,SCILA Surveillance,None,,,Critical,5,not initiated
AID126,Settlement Discipline,Application,Not set,Minor,Minor,Service for penalising CSD participants who do not fulfil their funding requirements for settlement,Minor,Internal,onboarding,Settlement Discipline,Minor,,"The Settlement Discipline application provides a service to the market for penalising participants who do not fulfil their funding requirements and compensating those who are harmed by their counterpart’s behaviour.  This is done based on a series of rules defined by Clearstream together with the Market, (Market Rules Committee).
 
Securities settlement (DvP sales):
 
In the case of securities settlement fails, i.e. unsuccessful securities provisioning by the required deadline, (end of CBF processing day on Contractual settlement date), penalties will be incurred on the basis of the cash counter value of DvP OTC- Instructions. The required delivery rate is 100%.
Blocking of OTC sales is possible and will be penalised using the same method as fails.
 
Cash settlement (DvP purchases):
 
In case of cash settlement fails, i.e. failure to provide enough cash by the NTP deadline, penalties will be incurred on the basis of unprovisioned cash amounts based on post NTP results.  The required efficiency level is to provide 100% of the required cash amounts for settlement.
Blocking of OTC purchases is possible and will be penalised using the same method as fails.
 
Settlement Discipline enables penalty calculation, collection, distribution and reporting per Cash Settlement account for blocked and failed OTC-Instructions (release 1).
 
CBF business departments and external customers can access the Settlement Discipline application via the internet. The Settlement Discipline GUI provides the functionality to maintain SD-parameters, to create daily reports, reports for a time period and a monthly report monitoring the penalties per customer. All information is available in German and in English language.",Minor,2,not initiated
AID127,Settlement Reporting,Application,Not set,Critical,Critical,Reporting of OTC and Stock Exchange transaction booked movements and feeds to downstream systems,Critical,Internal,onboarding,Settlement Reporting,Critical,,"Settlement Reporting handles all booked movements of OTC and SE transactions. 
 
Based on these movements  Settlement Reporting provides information for the reporting, Billing and Cash handling.
 
This comprises the following functionality:
 
·      Creation of movements and store them for  45  business days.
·       Store historical instruction data in instruction type specific DB2 tables for 45 business days. For a list of instruction types please refer to Cascade.
·       Creation and storage of combined movement / instruction data for 285 business days.
·       Present movements and instruction data Online via transaction KVDU.
·       Store historical security master data
·       Store historical account master data
·       Creation of Cash movements and routing to the according application (KV-Geld, Cash Accounting)
·       Creation of  “Monatskontoblatt (MOKO)” and transfer to customers 
·       Creation of “Depottagesauszug” and transfer to customers
·       Creation of “Regulierungsliste” and transfer to customers
·      Creation of Movement Fee counters for Billing purpose
 
 
Settlement Reporting-Interfaces to internal Clearstream-Systems
·       Cascade Lifecycle
Settled OTC-Instructions for CSC-business
·       Settlement Engine
Balances for Reporting purpose
·       LION
Settled SE-trades
·       LIMA (Link-Manager)
Provide information as base for the Clearing and Settlement Statement (CSS)
Provide MT942 information about settled OTC-instructions /SE trades with countervalue which are settled in central bank money 
·       Cash Lifecycle
Merge CL MT942 data with SR MT942 data
 
·       Income Engine
Historical movement data for Re Run processing
·      CASCADE-PC (online PC-interface)
·       CASH II
Movement and transaction fee counter
·       KV-Geld 
Cash Movements of settled SE- and OTC-Trades (Daylight Processing)
·       Cash Accounting 
Cash Movements of settled SE- and OTC-Trades (NGSM)
·       Statistics
Movements
·       Vaults 
Informations about the number of physical deliveries (Anzahl Urkunden)
·       ICSD Systems (Settlement/Cash Services)
·       Statistics
Settled SE + OTC-instructions
·       AURORA
Payment instructions which are settled via CBF RTGS account
 
 
Settlement Reporting -Interfaces to external Systems
·       WSS (Security Master Data)
·       KUSTA (Customer Master Data)
 
Settlement Reporting Customers
·       National / International Banks
·       Federal Debt Agency (BWpV)
 
Bestandspflegeprovision (BPP)
Settlement Reporting includes the service Bestandspflegeprovision. Clearstream Banking AG, Frankfurt (CBF) has extended its range of services and offers to provide with monthly position reports for each day on all investment fund units held via CBF via Internet so that the banks can distribute the custody account maintenance fees to there business partners. 
Positions are determined at the close of business at the end of each business day. At the beginning of every month, the custody will be provided with this information via INTERNET for the period of the previous month. The information is made available in the directory allocated on Deutsche Börse AG's Internet server.
For the disclosure of positions, the custody must provide CBF with a list of all securities, the positions of which must be reported for the purpose of paying the custody account maintenance fee
 
 
Schwebebestand
German government bonds can be held by the public institute Bundeswertpapierverwaltung (BWpV) for free.
The so-called “Schwebebestand” is intermediate storage for bookings of Cascade instruction type 03 (BSV/LSV-Übertrag) which were sent to BWpV or sent from BWpV to Clearstream Banking AG, Frankfurt (CBF). 
 
When the BWpV sends the confirmation for  the  booking out of their system, the entry in the “Schwebebestand” will be deleted. 
 
For emergency purpose those confirmations could be entered into the transaction “KELB”.
 ",Critical,16,not initiated
AID128,Shared Operation Support Tools,Application,Not set,Critical,Major,"Set of tools used by different operation teams (clearing, trading and risk)",Major,,onboarding,Shared Operation Support Tools,Critical,,,Critical,0,not initiated
AID129,SIRe,Application,Not set,Major,Major,"This application is used throughout the DBG to capture Software Bugs, Issues and configuraiton changes. SIRe comes with workflow support in order to track the forthcoming of the analysis up to a final delivery of the related artefact. Such as software deliveries, configuration changes or updated specifications. 
 
SIRE interfaces with:
EEPR (amadeus), via  SQLNet 
CRMS/ERMS (Lotus Notes), via  API
and Subversion
 
 
The technology stack is mostly OpenVMS based including WASD as an Web Server.
 
 
 
 ",Major,Internal,onboarding,SIRe,Major,,,Major,0,not initiated
AID130,Statistics,Application,Not set,Minor,None,"Produce various statistical reports on settlement instructions, movements, balances",Minor,Internal,onboarding,Statistics,None,,"Within this application various statistical reports based on instructions, movements, balances etc. are created. Some of them are processed on a regular basis , others just on request.
Therefore the application connects to nearly all CBF applications and the related master data systems.
This comprises e.g.
- KUSTA
- WSS
- CASCADE
- LION
- CASH
- Dispo Bund
- LIMA
 
The output-formatted reports (e.g. in PDF or EXCEL format) are sent to various business departments to inform them with details e.g. about
- business volumes or
- customer behaviour 
 
In October 2005 the project MIS Reporting Step-1 was launched. MIS Reporting comprises a collection of statistical key data monitoring the CBF processes. Step-1 includes securities activity and settlement efficiency reports. 
In February 2006 MIS Reporting Step-2 was launched. Reports about unmatched/matched OTC instructions and matched blocked/not blocked OTC instructions and SE Trades are added to the list of available MIS Reporting reports. In November 2006 reports about Straight Through processing and deposit evaluation are added as content of MIS Reporting Step-3. All available reports can be selected via an intranet application. Selected reports are automatically created and provided within an Excel template including a cover and definitions page. 
In March 2007 a redesign of the daily report (Tagesbericht) is launched and accessible via transaction code KSEE.
 
In November 2008 NCB-Link Statistics has been decommissioned as part of the Daytime project.
In June 2009 the automatic delivery of MIS statistics packages to customers was launched. In addition some reports were adjusted because of the FoP matching project and changes in LIMA. 
In addition data about balances and their market value are send via file transfer to the DATASERVER application.
In November 2010 the new SESA (Settlement Efficiency Statistics and Analysis) Reporting has been launched. This statistics analyses the settlement efficiency of customers in settlement cycles STD and RT-STD based on countervalue and number of instructions / trades. 
In June 2011 MIS Reporting reports securities activity and securities deposits have been enhanced by monitoring the cross border business for France, Belgium, Netherlands and Austria.
In November 2011 MIS Reporting reports securities activity and securities deposits have been enhanced by monitoring the cross border business for Switzerland, Italy, Spain, Finland, DTCC (USA) and Denmark. 
In November 2011 SESA Reporting is enhanced by adding a fix row for account 7201 in the TOP50 reports.
In November 2011 WSS attributes WP-Gruppe and WP-Art have been substituted by Produktgruppe und Instrumentenart for Alert List.
In August 2012 the Alert List has been decommissioned.
In November 2012 WSS attributes WP-Gruppe and WP-Art have been substitued by Produkgruppe und Instrumentenart for MIS Reporting (Securities Deposits).
 
In February 2013 the new ESMA Reporting has been launched which monitors settlement fails. The report is created bi-weekly and sent to the compliance department. The layout of the report is defined by ECB.
 
In September/October 2013 MIS Reporting report ‘Securities activity’ has been adjusted by monitoring the cross border business for Finland based on account 4496 instead of 7212. In addition the descriptions for Finland have been changed in MIS reports ‘Securities Activity’ and ‘Securities Deposits’ (both changes valid since reporting for September 2013)
In November 2013 the new ALARM Reporting (Step 1) has been launched. This statistic analyses position changes on account master level based on given conditions. The report is provided via email to relationship management.
 
In May 2014 MIS Reporting reports Secutities Activity and Securities Deposits have been enhanced to show figures for Finland (account 4496) separated by cross border and Creation international.
 ",Minor,5,not initiated
AID131,StatistiX,Application,Business Application,Critical,Critical,StatistiX is the datawarehouse for all major applications of the Trading and Clearing applications of Deutsche Börse. ,Critical,,onboarding,StatistiX,Critical,,StatistiX serves also as a platform for several smaller applications leveraging a common data pool and technology.  It serves as a data store for all major applications of the stock exchange business. The reporting engine produces reports both towards the members and internally. The analytics engine provides advanced analytical capabilities.,Critical,35,not initiated
